licenseNumber,businessName,licenseType,State,StateAbbr,address,city,zipCode,expirationDate,status,phone,email
010-1002015CA5E,Chemhistory,laboratory,Oregon,OR,,,,10/03/2025,active,,
010-1003224D558,"Columbia Laboratories, Inc",laboratory,Oregon,OR,,,,08/25/2025,active,,
010-1003340D344,2 River Labs Oregon,laboratory,Oregon,OR,,,,01/29/2025,active,,
010-1018619A26E,SC Labs,laboratory,Oregon,OR,,,,02/14/2025,active,,
010-10029074C70,Green Leaf Lab,laboratory,Oregon,OR,,,,08/25/2025,active,,
010-10076340B22,Reference Labs LLC,laboratory,Oregon,OR,,,,12/21/2024,active,,
010-10087092BDA,PREE,laboratory,Oregon,OR,,,,09/27/2024,active,,
010-100536507C4,3B Analytical,laboratory,Oregon,OR,,,,10/30/2024,active,,
010-101599328A3,Pinnacle Analytics,laboratory,Oregon,OR,,,,08/03/2025,active,,
010-1002112892C,Rose City Labs,laboratory,Oregon,OR,,,,12/15/2024,active,,
010-10172269268,Green Leaf Lab LLC,laboratory,Oregon,OR,,,,01/17/2025,active,,
010-10219583711,PREE-NORTH,laboratory,Oregon,OR,,,,08/02/2025,active,,
010-10233216933,Britebox Labs,laboratory,Oregon,OR,,,,04/04/2025,active,,
020-3000,SURE BITE INDUSTRIES LLC,recreational producer,Oregon,OR,,,,03/20/2025,active,,
020-3011,More Life Farms,recreational producer,Oregon,OR,,,,03/27/2025,active,,
020-3012,No Name Garden,recreational producer,Oregon,OR,,,,04/03/2025,active,,
020-3014,Boom Boom Farms LLC,recreational producer,Oregon,OR,,,,03/28/2025,active,,
020-3019,Hazy Daze,recreational producer,Oregon,OR,,,,03/06/2025,active,,
020-3040,Bogart Farms LLC,recreational producer,Oregon,OR,,,,04/03/2025,active,,
020-3076,Verdant Leaf,recreational producer,Oregon,OR,,,,04/15/2025,active,,
020-3091,Mr. Purple,recreational producer,Oregon,OR,,,,04/18/2025,active,,
020-3098,"NorthWest HydroGrow, Inc.",recreational producer,Oregon,OR,,,,04/22/2025,active,,
020-3099,NWHG,recreational producer,Oregon,OR,,,,04/22/2025,active,,
020-3119,Red Sun,recreational producer,Oregon,OR,,,,04/23/2025,active,,
020-3120,Rogue Farmz,recreational producer,Oregon,OR,,,,04/23/2025,active,,
020-3143,FIREKEEPER FAMILY FARMS,recreational producer,Oregon,OR,,,,04/30/2025,active,,
020-3147,Highway Supply Company,recreational producer,Oregon,OR,,,,04/30/2025,active,,
020-3182,The Fields,recreational producer,Oregon,OR,,,,05/05/2025,active,,
020-3321,Hometown Cultivation,recreational producer,Oregon,OR,,,,05/11/2025,active,,
020-3394,Premier Farm,recreational producer,Oregon,OR,,,,05/14/2025,active,,
020-3445,Elk Haven Farms,recreational producer,Oregon,OR,,,,05/17/2025,active,,
020-3457,Brophy Farms,recreational producer,Oregon,OR,,,,05/19/2025,active,,
020-3502,Flametender Farms,recreational producer,Oregon,OR,,,,05/21/2025,active,,
020-3531,JCO Ranch,recreational producer,Oregon,OR,,,,05/26/2025,active,,
020-3544,Calyx Cultivation 2,recreational producer,Oregon,OR,,,,05/27/2025,active,,
